id,entity,lat,lon,display_name,source,confidence
09df6d304ca8,Fagervik,62.5039131,17.4054718,"Fagervik, Timrå distrikt, Timrå kommun, Västernorrlands län, 861 45, Sverige",https://www.flashback.org/t279814,0.84
bbe9ae76e0eb,Sidsjön,62.3733712,17.2771001,"Sidsjön, Sidsjö, Sidsjö-Böle, Sundsvalls Gustav Adolfs distrikt, Sundsvalls kommun, Västernorrlands län, Sverige",https://www.flashback.org/t279814,0.84
6f550dcfb82d,Clas,60.6785236,15.0960121,"Clas Ohlson Parken, Ålbyn, Insjön, Leksands kommun, Dalarnas län, Sverige",https://www.flashback.org/t349266,0.64
46960b1e32a2,Jag,56.7381625,16.2862947,"Får jag lov, Lindsdal, Kalmar kommun, Kalmar län, 393 65, Sverige",https://www.flashback.org/t3074043p2,0.72
eedc88393191,Denna,59.4123247,18.0338509,"Denna Restaurang, Enebybergsvägen, Mörby, Enebyberg, Danderyds kommun, Stockholms län, 182 36, Sverige",https://www.flashback.org/t3725204,1.0
9e46c262fad0,Canon,59.8543863,17.6905231,"Canon, Sylveniusgatan, Fyrislund, Uppsala, Uppsala kommun, Uppsala län, 735 23, Sverige",https://www.flashback.org/t349266,0.84
414e13ed6e71,Kommer,58.4012054,15.5776266,"Kommer, Corson, Västra Valla, Linköpings domkyrkodistrikt, Linköping, Linköpings kommun, Östergötlands län, 583 29, Sverige",https://www.flashback.org/t3729252,0.48
e0117e333b14,Men,44.133435,-70.822678,"Sweden, Oxford County, Maine, 04040, United States",https://www.flashback.org/t359143,0.64
abf6b361e4b7,Låt,60.5152564,16.4702136,"Låtvägen, Solberga, Wall, Torsåker, Hofors kommun, Gävleborgs län, 813 40, Sverige",https://www.flashback.org/t349266,0.84
0a4b79034141,Eller,63.7300829,18.7806808,"Cykla eller rid i kanten på Herrbergslidens Naturreservat, Trehörningsjö distrikt, Örnsköldsviks kommun, Västernorrlands län, 890 54, Sverige",https://www.flashback.org/t359143,0.56
